SEC_NAME,CRS_NAME,Acad_Year,COURSES_ID,SEC_CAPACITY,NamePY,TERM,TERM_PY,ACTIVE_STUDENT_COUNT,SS_PY,Count_PY,WD_PY,DROP_PY,CC_PY,SEC_Count,AvgSecEnr3yr,AvgSecEnrto,CTE
ART-119A-01,ART-119A,2019,5105,16,ART-119A-01,2019FA,2018FA,8,15,20,0,3,0,2,12,12,0
ART-119A-01,ART-119A,2018,5105,16,ART-119A-01,2019SP,2018SP,7,10,11,1,3,0,2,11,11,0
ART-119A-01,ART-119A,2018,5105,19,ART-119A-01,2019WI,2018WI,11,7,8,0,2,0,2,9,10,0
ART-119A-02,ART-119A,2014,5105,16,ART-119A-02,2014FA,2013FA,10,7,11,0,5,0,1,11,11,0
ART-119A-02,ART-119A,2015,5105,16,ART-119A-02,2015FA,2014FA,6,9,10,2,5,1,2,11,11,0
ART-119A-02,ART-119A,2014,5105,16,ART-119A-02,2015SP,2014SP,13,7,7,1,3,0,2,10,10,0
ART-119A-02,ART-119A,2014,5105,16,ART-119A-02,2015WI,2014WI,7,12,17,1,4,0,2,16,16,0
ART-119A-02,ART-119A,2016,5105,16,ART-119A-02,2016FA,2015FA,12,5,6,2,8,0,2,11,11,0
ART-119A-02,ART-119A,2015,5105,16,ART-119A-02,2016SP,2015SP,12,9,13,0,1,0,2,12,12,0
ART-119A-02,ART-119A,2015,5105,16,ART-119A-02,2016WI,2015WI,9,6,7,2,3,0,2,13,13,0
ART-119A-02,ART-119A,2017,5105,16,ART-119A-02,2017FA,2016FA,8,8,12,0,6,0,2,12,12,0
ART-119A-02,ART-119A,2016,5105,18,ART-119A-02,2017SP,2016SP,9,8,12,1,1,0,2,11,11,0
ART-119A-02,ART-119A,2016,5105,16,ART-119A-02,2017WI,2016WI,5,5,9,1,5,0,2,12,12,0
ART-119A-02,ART-119A,2018,5105,16,ART-119A-02,2018FA,2017FA,11,8,8,0,4,0,2,11,11,0
ART-119A-02,ART-119A,2017,5105,24,ART-119A-02,2018SP,2017SP,12,7,9,0,1,0,2,10,10,0
ART-119A-02,ART-119A,2017,5105,24,ART-119A-02,2018WI,2017WI,8,4,5,1,3,0,2,11,11,0
ART-119A-02,ART-119A,2019,5105,16,ART-119A-02,2019FA,2018FA,6,9,11,2,6,0,2,12,12,0
ART-119A-02,ART-119A,2018,5105,16,ART-119A-02,2019SP,2018SP,13,8,12,1,2,0,2,11,11,0
ART-119A-02,ART-119A,2018,5105,16,ART-119A-02,2019WI,2018WI,12,5,8,0,4,0,2,9,10,0
ART-119B-01,ART-119B,2014,5106,16,ART-119B-01,2015SP,2014SP,3,2,2,0,0,0,2,1,1,0
ART-119B-01,ART-119B,2014,5106,16,ART-119B-01,2015WI,2014WI,3,3,3,0,0,1,2,3,3,0
ART-119B-01,ART-119B,2016,5106,16,ART-119B-01,2016FA,2015FA,1,3,4,0,0,0,2,3,3,0
ART-119B-01,ART-119B,2015,5106,16,ART-119B-01,2016SP,2015SP,2,3,3,0,0,0,2,2,2,0
ART-119B-01,ART-119B,2015,5106,16,ART-119B-01,2016WI,2015WI,2,2,3,0,0,0,2,3,3,0
ART-119B-01,ART-119B,2017,5106,16,ART-119B-01,2017FA,2016FA,1,1,1,0,0,0,2,2,2,0
ART-119B-01,ART-119B,2016,5106,18,ART-119B-01,2017SP,2016SP,1,2,2,0,0,0,1,2,2,0
ART-119B-01,ART-119B,2016,5106,16,ART-119B-01,2017WI,2016WI,1,1,2,0,0,0,2,3,3,0
ART-119B-01,ART-119B,2018,5106,24,ART-119B-01,2018FA,2017FA,3,1,1,0,0,0,2,1,2,0
ART-119B-01,ART-119B,2017,5106,24,ART-119B-01,2018SP,2017SP,5,1,1,0,1,1,2,2,2,0
ART-119B-01,ART-119B,2017,5106,24,ART-119B-01,2018WI,2017WI,1,0,1,0,0,0,2,2,2,0
ART-119B-01,ART-119B,2019,5106,16,ART-119B-01,2019FA,2018FA,2,3,3,0,1,0,1,1,2,0
ART-119B-01,ART-119B,2018,5106,16,ART-119B-01,2019SP,2018SP,2,1,5,0,0,0,2,3,3,0
ART-119B-01,ART-119B,2018,5106,19,ART-119B-01,2019WI,2018WI,3,1,1,0,2,0,2,2,2,0
ART-119B-02,ART-119B,2014,5106,16,ART-119B-02,2014FA,2013FA,3,2,3,0,1,0,1,4,4,0
ART-119B-02,ART-119B,2015,5106,16,ART-119B-02,2015FA,2014FA,1,3,3,0,1,1,2,3,3,0
ART-119B-02,ART-119B,2014,5106,16,ART-119B-02,2015SP,2014SP,2,1,1,0,3,0,2,1,1,0
ART-119B-02,ART-119B,2016,5106,16,ART-119B-02,2016FA,2015FA,1,1,1,0,1,0,2,3,3,0
ART-119B-02,ART-119B,2015,5106,16,ART-119B-02,2016SP,2015SP,6,2,2,0,0,0,2,2,2,0
ART-119B-02,ART-119B,2015,5106,16,ART-119B-02,2016WI,2015WI,3,1,2,2,2,0,2,3,3,0
ART-119B-02,ART-119B,2017,5106,16,ART-119B-02,2017FA,2016FA,1,1,1,0,0,0,2,2,2,0
ART-119B-02,ART-119B,2016,5106,16,ART-119B-02,2017WI,2016WI,1,0,3,0,1,0,2,3,3,0
ART-119B-02,ART-119B,2018,5106,16,ART-119B-02,2018FA,2017FA,2,0,1,0,0,0,2,1,2,0
ART-119B-02,ART-119B,2017,5106,24,ART-119B-02,2018WI,2017WI,1,1,1,0,1,0,2,2,2,0
ART-119B-02,ART-119B,2018,5106,16,ART-119B-02,2019SP,2018SP,2,4,4,0,0,0,2,3,3,0
ART-119B-02,ART-119B,2018,5106,16,ART-119B-02,2019WI,2018WI,2,1,1,1,1,0,2,2,2,0
ART-120A-01,ART-120A,2014,5107,8,ART-120A-01,2014FA,2013FA,6,5,6,0,0,0,1,6,6,0
ART-120A-01,ART-120A,2015,5107,8,ART-120A-01,2015FA,2014FA,5,5,6,0,2,0,1,6,6,0
ART-120A-01,ART-120A,2014,5107,8,ART-120A-01,2015SP,2014SP,3,6,8,0,0,0,1,8,8,0
ART-120A-01,ART-120A,2014,5107,8,ART-120A-01,2015WI,2014WI,6,5,7,0,0,0,1,7,7,0
ART-120A-01,ART-120A,2016,5107,8,ART-120A-01,2016FA,2015FA,4,5,5,0,0,0,1,5,5,0
ART-120A-01,ART-120A,2015,5107,8,ART-120A-01,2016SP,2015SP,1,3,3,0,0,0,1,5,5,0
ART-120A-01,ART-120A,2015,5107,8,ART-120A-01,2016WI,2015WI,3,5,6,0,0,0,1,6,6,0
ART-120A-01,ART-120A,2017,5107,8,ART-120A-01,2017FA,2016FA,2,2,4,0,1,0,1,5,5,0
ART-120A-01,ART-120A,2016,5107,6,ART-120A-01,2017SP,2016SP,2,1,1,0,0,0,1,4,4,0
ART-120A-01,ART-120A,2016,5107,8,ART-120A-01,2017WI,2016WI,7,1,3,1,2,0,1,5,5,0
ART-120A-01,ART-120A,2018,5107,8,ART-120A-01,2018FA,2017FA,5,0,2,0,0,0,1,4,4,0
ART-120A-01,ART-120A,2017,5107,4,ART-120A-01,2018WI,2017WI,5,4,7,0,0,0,1,6,6,0
ART-120A-01,ART-120A,2019,5107,8,ART-120A-01,2019FA,2018FA,6,4,5,0,0,0,1,4,4,0
ART-120A-01,ART-120A,2018,5107,8,ART-120A-01,2019WI,2018WI,4,1,5,1,1,0,1,5,6,0
ART-120B-01,ART-120B,2014,5108,8,ART-120B-01,2015SP,2014SP,4,3,3,0,0,0,1,3,3,0
ART-120B-01,ART-120B,2014,5108,8,ART-120B-01,2015WI,2014WI,2,1,2,0,0,0,1,2,2,0
