CRS_NAME,COURSES_ID,TERM_REPORTING_YEAR,C4AP
FIR-171C,5551,2018,1
GEG-113,2384,2018,26
GEL-102,5278,2019,36
HEA-140A,5159,2016,4
BSN-111,489,2011,3
CHM-102,832,2015,5
CHM-201,845,2012,3
CIS-113,869,2011,2
CRJ-112,1296,2014,9
CUL-106,1358,2015,5
ART-103,5268,2020,37
ART-113,5529,2014,8
ART-117,95,2016,1
BIO-113,5634,2015,3
BIO-115,276,2019,13
BSN-101B,482,2013,3
THE-136C,5208,2013,5
THE-136D,5211,2015,3
WLD-133,5033,2017,8
GEG-135,2400,2019,9
GEL-108,2410,2015,5
MUS-119B,5161,2020,9
PEF-116A,5419,2017,1
PHS-111,4281,2012,3
THE-111F,4860,2011,1
DMA-103,5275,2018,5
ECE-100,1670,2020,8
ECE-102,1672,2014,6
ENG-212,2060,2012,5
FIR-174A,2288,2013,2
GEG-103,2377,2015,6
CAO-123,5078,2018,1
CHM-102,832,2011,4
CRJ-112,1296,2018,10
CUL-163E,1399,2012,2
CUL-163L,1405,2011,2
DAN-142,1575,2012,1
ART-106,85,2014,9
ART-145A,200,2019,6
ART-201,211,2020,1
BSN-122,497,2014,1
COU-126,994,2011,2
CUL-163F,1400,2013,2
PHI-103B,4242,2011,4
POL-101,4323,2017,4
SOC-101,4492,2015,12
SPA-124,4574,2019,7
THE-112C,4878,2012,9
WLD-112C,4954,2011,6
GEG-101,2373,2012,4
GEG-102,2374,2013,4
GSE-103,2552,2016,2
HEA-149,2740,2016,2
MAT-201,3233,2019,80
MUS-104C,3265,2013,8
CUL-163G,1401,2012,2
ENG-207,2052,2014,2
ENG-219L,2078,2012,1
FIR-104,2187,2019,6
FIR-105,2188,2018,6
FIR-182B,5811,2017,2
ART-118,5535,2018,44
ART-221C,5628,2019,14
ART-239B,5114,2015,1
BIO-103,272,2016,4
BSN-251,557,2019,1
CAO-157A,726,2012,3
WLD-107B,5980,2018,24
PSY-104,4355,2011,4
SOC-106,4497,2015,11
SPA-156E,4695,2015,2
SPA-160H,4723,2014,2
SPA-172C,4733,2012,4
SPA-212,4824,2017,11
CIS-108,6168,2020,5
DAN-107A,1518,2012,2
DMA-111,1581,2019,5
PEF-100G,5389,2019,4
PEF-116B,5421,2016,1
PHS-117,5162,2014,3
ART-240,259,2018,6
BSN-125,498,2015,6
CRJ-103,1288,2019,10
CRJ-104,5545,2013,9
CRJ-104,1289,2018,10
